country,iso3,has_elections,last_election_date,next_election_date,voting_method,biometric_voter_reg,biometric_voter_verify,electronic_results_tx,evoting,vendor,confidence,source,notes
Maldives,MDV,Y,2024-04-21,2029-04-01,Paper,N,N,N,N,,High,elections.gov.mv / ifes.org,"2024.4.21 총선 완료. 종이투표. 사진ID 확인 방식. 점자투표용지 보조 제공"
Marshall Islands,MHL,Y,2023-11-20,2027-11-01,Paper,N,N,N,N,,Med,ipu.org,"2023.11.20 의회선거. 4년 주기. 종이투표. 정당 없음(독립후보)"
Micronesia,FSM,Y,2025-03-04,2027-03-01,Paper,N,N,N,N,,Med,fsmned.fm / ifes.org,"2025.3.4 국회의원선거. 정당 없음(독립후보). 종이투표. 2년 임기 10석+4년 임기 4석"
Mongolia,MNG,Y,2024-06-28,2028-06-01,OMR,Y,Y,Y,N,"Dominion Voting (ImageCast)",High,idea.int / osce.org,"2024.6.28 총선. Dominion ImageCast OMR 스캐너. 생체지문 유권자 확인(GASR 연계). SMS 결과전송. 2012년부터 전자시스템 도입"
Myanmar,MMR,Limited,2025-12-28,,Paper,N,N,N,N,,Med,anfrel.org / wikipedia.org,"2025.12.28 군부 주관 총선 (조작 선거로 국제사회 미인정). 2021 쿠데타 후 민주선거 중단"
Nauru,NRU,Y,2025-10-13,2028-10-01,Paper,N,N,N,N,,Med,ipu.org,"2025.10.13 의회선거. 태평양 소도서국. 종이투표. 정당 없음(독립후보)"
Nepal,NPL,Y,2022-11-20,2027-11-01,Paper,Y,N,N,N,,High,election.gov.np / ifes.org,"2022.11.20 총선. 선거위 생체정보(지문+사진) 수집 시작. 투표소 생체확인 미실시. 종이투표+도장"
New Zealand,NZL,Y,2023-10-14,2026-11-07,Paper,N,N,N,N,,High,elections.nz / vote.nz,"2023.10.14 총선. 다음: 2026.11.7. 종이투표+펜 원칙. 해외투표 iVote(인터넷) 일부. 생체인식 없음"
North Korea,PRK,Limited,2026-03-15,2030-03-01,Paper,N,N,N,N,,High,dailynk.com / wikipedia.org,"2026.3.15 최고인민회의선거(2024년 예정이었으나 연기됨). 단일후보 형식적 선거. 종이투표(반대표 가능하나 사실상 불가)"
Pakistan,PAK,Y,2024-02-08,2029-02-01,Paper,N,N,N,N,,High,ecp.gov.pk / fafen.org,"2024.2.8 총선. 전량 종이투표. CNIC 신분확인. NADRA 전자 유권자 관리. 투표소 생체확인 없음"
Palau,PLW,Y,2024-11-05,2028-11-01,Paper,N,N,N,N,,Med,ipu.org,"2024.11.5 대통령+국회의원 동시선거. 종이투표. 소규모 민주국가"
Papua New Guinea,PNG,Y,2022-07-02,2027-07-01,Paper,N,N,N,N,,High,electoralcommission.org.pg / biometricupdate.com,"2022.7 총선(대규모 부정·폭력 논란). 2027년 생체+전자투표 도입 계획 발표했으나 2025년 선관위 '아직 준비 안됨' 확인"
Philippines,PHL,Y,2025-05-12,2028-05-01,OMR,N,N,Y,N,"Miru Systems (ACM 2025)",High,comelec.gov.ph / rappler.com,"2025.5.12 중간선거. Miru Systems ACM(한국) 첫 도입(Smartmatic VCM 교체). OMR 기반 광학스캐너. 동시 결과전송. 투표율 82.2%"
Samoa,WSM,Y,2025-08-29,2030-08-01,Paper,N,N,N,N,,Med,electionguide.org / samoaobserver.ws,"2025.8.29 조기총선. FAST 30석 승리. 종이투표. 강제투표(불참시 벌금 100탈라)"
Singapore,SGP,Y,2025-05-03,2030-05-01,Paper,N,N,N,N,,High,eld.gov.sg,"2025.5.3 총선. 종이투표+2018년 도입 기계식 집계(지폐계수기 유사). 비공개 투표(일련번호 추적 가능). PAP 87석/97석"
Solomon Islands,SLB,Y,2024-04-17,2029-04-01,Paper,N,N,N,N,,High,ifes.org / forumsec.org,"2024.4.17 총선. 종이투표. 태평양 포럼 감시단 파견"
South Korea,KOR,Y,2025-06-03,2030-06-01,OMR,N,N,Y,N,"NEC (자체 투표지분류기+집계기)",High,nec.go.kr,"2025.6.3 대선(윤석열 탄핵 후). 종이투표+광학스캐너 분류·집계. 2002년 전국 도입. 인터넷투표 일부 기관(조합 등)만. 결과전송 전산화"
Sri Lanka,LKA,Y,2024-11-14,2029-11-01,Paper,N,N,N,N,,High,elections.gov.lk / ifes.org,"2024.11.14 총선(의회). 2024.9.21 대선. 종이투표+판지 투표함. 사진ID 확인. 생체인식 없음"
Taiwan,TWN,Y,2024-01-13,2028-01-01,Paper,N,N,N,N,,High,cec.gov.tw / focustaiwan.tw,"2024.1.13 대선+입법원 동시선거. 완전 종이투표+수개표. 42백만표 처리. 전자투표 도입 없음"
Tajikistan,TJK,Limited,2025-03-02,2030-03-01,Paper,N,N,N,N,,High,odihr.osce.org / thediplomat.com,"2025.3.2 의회선거. OSCE 감시단 파견 거부됨. 집권당(PDPT) 독점. 형식적 선거"
Thailand,THA,Y,2023-05-14,2027-05-01,Paper,N,N,Y,N,,Med,ect.go.th / anfrel.org,"2023.5.14 총선. ECT 결과전송 소프트웨어 사용(집계·전송 전산화). 실제 투표는 종이투표+수개표. 2018 민주당 내부선거에 블록체인 실험(12만표)만 존재"
Timor-Leste,TLS,Y,2023-05-22,2027-05-01,Paper,Y,N,N,N,,High,ifes.org / tatoli.tl,"2023.5.22 총선. 종이투표. 2024.7 STAE 생체유권자등록(BVRS) 시작(60만달러 예산, 도입 진행 중). 투표소 생체확인 미실시. 다음선거 2027(예정)"
Tonga,TON,Y,2024-11-18,2027-11-01,Paper,N,N,N,N,,Med,ipu.org,"2024.11.18 의회선거. 종이투표. 귀족의원 9석+인민의원 17석 혼합"
Turkmenistan,TKM,Limited,2023-03-26,2028-03-01,Paper,N,N,N,N,,High,freedomhouse.org / osw.waw.pl,"2023.3.26 의회선거. 단일정당 지배. 국제감시 거부. 형식적 선거"
Tuvalu,TUV,Y,2024-01-26,2028-01-01,Paper,N,N,N,N,,Med,ipu.org / devpolicy.org,"2024.1.26 총선(16석). 정당 없음(독립후보). 종이투표"
Uzbekistan,UZB,Limited,2024-10-27,2029-10-01,Paper,N,N,N,N,,High,odihr.osce.org / ifes.org,"2024.10.27 의회+지방선거. 종이투표. 타슈켄트 일부 투표소 생체인식 파일럿 시범운영. 집권당(UzLiDeP) 독점. OSCE 민주주의 한계 지적"
Vanuatu,VUT,Y,2025-01-16,2029-01-01,Paper,N,N,N,N,,Med,ipu.org / wikipedia.org,"2025.1.16 총선(두 번째 조기총선). 52석. 종이투표. 단기비이양투표제"
Vietnam,VNM,Limited,2026-03-15,,Paper,Y,N,N,N,,High,baochinhphu.vn / thevietnamese.org,"2026.3.15 총선(일당제). CPP 93% 후보. 7350만 유권자. 종이투표. Project 06 VNeID 앱 기반 생체유권자등록(2026년 총선 최초 적용)"
